Lambda (A),Cooper (Mb),Sim (Mb),Diff (Mb),Error (%)
780,38.0,79.18,41.18,108.4
700,35.0,56.76,21.76,62.2
600,25.0,27.36,2.36,9.4
500,12.0,9.17,-2.83,-23.6
400,2.0,1.93,-0.07,-3.6
300,0.5,0.6,0.1,20.6
200,1.0,0.99,-0.01,-1.2
