Energy (eV),Wavelength (A),Cross Section (Mb)
2916.472,4.25,0.0019
2928.867,4.23,0.0019
2941.262,4.22,0.0019
2953.656,4.2,0.0019
2966.051,4.18,0.0018
2978.446,4.16,0.0018
2990.84,4.15,0.0018
3003.235,4.13,0.0018
3015.63,4.11,0.0018
3028.024,4.09,0.0017
3040.419,4.08,0.0017
3052.814,4.06,0.0017
3065.208,4.04,0.0017
3077.603,4.03,0.0017
3089.998,4.01,0.0016
3102.393,4.0,0.0016
3114.787,3.98,0.0016
3127.182,3.96,0.0016
3139.577,3.95,0.0016
3151.971,3.93,0.0016
3164.366,3.92,0.0015
3176.761,3.9,0.0015
3189.155,3.89,0.0015
3201.55,3.87,0.0015
3213.945,3.86,0.0015
3226.339,3.84,0.0015
3238.734,3.83,0.0014
3251.129,3.81,0.0014
3263.523,3.8,0.0014
3275.918,3.78,0.0014
3288.313,3.77,0.0014
3300.707,3.76,0.0013
3313.102,3.74,0.0014
3325.497,3.73,0.0013
3337.891,3.71,0.0014
3350.286,3.7,0.0013
3362.681,3.69,0.0014
3375.075,3.67,0.0008
3387.47,3.66,0.0013
3399.865,3.65,0.0012
3412.259,3.63,0.0012
3424.654,3.62,0.0012
3437.049,3.61,0.0012
3449.443,3.59,0.0012
3461.838,3.58,0.0012
3474.233,3.57,0.0012
3486.627,3.56,0.0012
3499.022,3.54,0.0011
3511.417,3.53,0.0011
3523.812,3.52,0.0011
3536.206,3.51,0.0011
3548.601,3.49,0.0011
3560.996,3.48,0.0011
3573.39,3.47,0.0011
3585.785,3.46,0.0011
3598.18,3.45,0.0011
3610.574,3.43,0.001
3622.969,3.42,0.001
3635.364,3.41,0.001
3647.758,3.4,0.001
3660.153,3.39,0.001
3672.548,3.38,0.001
3684.942,3.36,0.001
3697.337,3.35,0.001
3709.732,3.34,0.001
3722.126,3.33,0.001
3734.521,3.32,0.001
3746.916,3.31,0.0009
3759.31,3.3,0.0009
3771.705,3.29,0.0009
3784.1,3.28,0.0009
3796.494,3.27,0.0009
3808.889,3.26,0.0009
3821.284,3.24,0.0009
3833.678,3.23,0.0009
3846.073,3.22,0.0009
3858.468,3.21,0.0009
3870.862,3.2,0.0009
3883.257,3.19,0.0009
3895.652,3.18,0.0008
3908.047,3.17,0.0008
3920.441,3.16,0.0008
3932.836,3.15,0.0008
3945.231,3.14,0.0008
3957.625,3.13,0.0008
3970.02,3.12,0.0008
3982.415,3.11,0.0008
3994.809,3.1,0.0008
4007.204,3.09,0.0008
4019.599,3.08,0.0008
4031.993,3.08,0.0008
4044.388,3.07,0.0008
4056.783,3.06,0.0007
4069.177,3.05,0.0007
4081.572,3.04,0.0007
4093.967,3.03,0.0007
4106.361,3.02,0.0007
4118.756,3.01,0.0007
4131.151,3.0,0.0007
4143.545,2.99,0.0007
4155.94,2.98,0.0007
4168.335,2.97,0.0007
4180.729,2.97,0.0007
4193.124,2.96,0.0007
4205.519,2.95,0.0007
4217.913,2.94,0.0007
4230.308,2.93,0.0007
4242.703,2.92,0.0007
4255.097,2.91,0.0006
4267.492,2.91,0.0006
4279.887,2.9,0.0006
4292.281,2.89,0.0006
4304.676,2.88,0.0006
4317.071,2.87,0.0006
4329.466,2.86,0.0006
4341.86,2.86,0.0006
4354.255,2.85,0.0006
4366.65,2.84,0.0006
4379.044,2.83,0.0006
4391.439,2.82,0.0006
4403.834,2.82,0.0006
4416.228,2.81,0.0006
4428.623,2.8,0.0006
4441.018,2.79,0.0006
4453.412,2.78,0.0006
4465.807,2.78,0.0006
4478.202,2.77,0.0006
4490.596,2.76,0.0005
4502.991,2.75,0.0005
4515.386,2.75,0.0005
4527.78,2.74,0.0005
4540.175,2.73,0.0005
4552.57,2.72,0.0005
4564.964,2.72,0.0005
4577.359,2.71,0.0005
4589.754,2.7,0.0005
4602.148,2.69,0.0005
4614.543,2.69,0.0005
4626.938,2.68,0.0005
4639.332,2.67,0.0005
4651.727,2.67,0.0005
4664.122,2.66,0.0005
4676.516,2.65,0.0005
4688.911,2.64,0.0005
4701.306,2.64,0.0005
4713.7,2.63,0.0005
4726.095,2.62,0.0005
4738.49,2.62,0.0005
4750.885,2.61,0.0004
4763.279,2.6,0.0004
4775.674,2.6,0.0004
4788.069,2.59,0.0004
4800.463,2.58,0.0004
4812.858,2.58,0.0004
4825.253,2.57,0.0004
4837.647,2.56,0.0004
4850.042,2.56,0.0004
4862.437,2.55,0.0004
4874.831,2.54,0.0004
4887.226,2.54,0.0004
4899.621,2.53,0.0004
4912.015,2.52,0.0004
4924.41,2.52,0.0004
4936.805,2.51,0.0004
4949.199,2.51,0.0004
4961.594,2.5,0.0004
4973.989,2.49,0.0004
4986.383,2.49,0.0004
4998.778,2.48,0.0004
5011.173,2.47,0.0004
5023.567,2.47,0.0003
5035.962,2.46,0.0003
5048.357,2.46,0.0003
5060.751,2.45,0.0003
5073.146,2.44,0.0003
5085.541,2.44,0.0003
5097.935,2.43,0.0003
5110.33,2.43,0.0003
5122.725,2.42,0.0003
5135.119,2.41,0.0003
5147.514,2.41,0.0003
5159.909,2.4,0.0003
5172.304,2.4,0.0003
5184.698,2.39,0.0003
5197.093,2.39,0.0003
5209.488,2.38,0.0003
5221.882,2.37,0.0003
5234.277,2.37,0.0003
5246.672,2.36,0.0003
5259.066,2.36,0.0002
5271.461,2.35,0.0002
5283.856,2.35,0.0002
5296.25,2.34,0.0002
5308.645,2.34,0.0002
5321.04,2.33,0.0002
5333.434,2.32,0.0002
5345.829,2.32,0.0002
5358.224,2.31,0.0002
5370.618,2.31,0.0002
5383.013,2.3,0.0002
5395.408,2.3,0.0002
5407.802,2.29,0.0002
5420.197,2.29,0.0002
5432.592,2.28,0.0002
5444.986,2.28,0.0002
5457.381,2.27,0.0002
5469.776,2.27,0.0002
5482.17,2.26,0.0002
5494.565,2.26,0.0002
5506.96,2.25,0.0002
5519.354,2.25,0.0002
5531.749,2.24,0.0002
5544.144,2.24,0.0002
5556.538,2.23,0.0002
5568.933,2.23,0.0002
5581.328,2.22,0.0002
5593.723,2.22,0.0002
5606.117,2.21,0.0002
5618.512,2.21,0.0002
5630.907,2.2,0.0002
5643.301,2.2,0.0002
5655.696,2.19,0.0002
5668.091,2.19,0.0002
5680.485,2.18,0.0002
5692.88,2.18,0.0002
5705.275,2.17,0.0002
5717.669,2.17,0.0002
5730.064,2.16,0.0002
5742.459,2.16,0.0002
5754.853,2.15,0.0002
5767.248,2.15,0.0002
5779.643,2.15,0.0002
5792.037,2.14,0.0002
5804.432,2.14,0.0003
5816.827,2.13,0.0003
5829.221,2.13,0.0003
5841.616,2.12,0.0003
5854.011,2.12,0.0003
5866.405,2.11,0.0003
5878.8,2.11,0.0003
5891.195,2.1,0.0003
5903.589,2.1,0.0004
5915.984,2.1,0.0004
5928.379,2.09,0.0004
5940.773,2.09,0.0004
5953.168,2.08,0.0004
5965.563,2.08,0.0004
5977.957,2.07,0.0004
5990.352,2.07,0.0004
6002.747,2.07,0.0005
6015.142,2.06,0.0005
6027.536,2.06,0.0005
6039.931,2.05,0.0005
6052.326,2.05,0.0005
6064.72,2.04,0.0005
6077.115,2.04,0.0005
6089.51,2.04,0.0005
6101.904,2.03,0.0005
6114.299,2.03,0.0005
6126.694,2.02,0.0005
6139.088,2.02,0.0005
6151.483,2.02,0.0005
6163.878,2.01,0.0005
6176.272,2.01,0.0005
6188.667,2.0,0.0005
6201.062,2.0,0.0005
6213.456,2.0,0.0005
6225.851,1.99,0.0005
6238.246,1.99,0.0004
6250.64,1.98,0.0004
6263.035,1.98,0.0004
6275.43,1.98,0.0004
6287.824,1.97,0.0004
6300.219,1.97,0.0004
6312.614,1.96,0.0004
6325.008,1.96,0.0004
6337.403,1.96,0.0004
6349.798,1.95,0.0003
6362.192,1.95,0.0003
6374.587,1.94,0.0003
6386.982,1.94,0.0003
6399.377,1.94,0.0003
6411.771,1.93,0.0003
6424.166,1.93,0.0003
6436.561,1.93,0.0003
6448.955,1.92,0.0003
6461.35,1.92,0.0003
6473.745,1.92,0.0002
6486.139,1.91,0.0002
6498.534,1.91,0.0002
6510.929,1.9,0.0002
6523.323,1.9,0.0002
6535.718,1.9,0.0002
6548.113,1.89,0.0002
6560.507,1.89,0.0002
6572.902,1.89,0.0002
6585.297,1.88,0.0002
6597.691,1.88,0.0002
6610.086,1.88,0.0002
6622.481,1.87,0.0002
6634.875,1.87,0.0002
6647.27,1.87,0.0002
6659.665,1.86,0.0002
6672.059,1.86,0.0002
6684.454,1.85,0.0001
6696.849,1.85,0.0001
6709.243,1.85,0.0001
6721.638,1.84,0.0001
6734.033,1.84,0.0001
6746.427,1.84,0.0001
6758.822,1.83,0.0001
6771.217,1.83,0.0001
6783.611,1.83,0.0001
6796.006,1.82,0.0001
6808.401,1.82,0.0001
6820.796,1.82,0.0001
6833.19,1.81,0.0001
6845.585,1.81,0.0001
6857.98,1.81,0.0001
6870.374,1.8,0.0001
6882.769,1.8,0.0001
6895.164,1.8,0.0001
6907.558,1.79,0.0001
6919.953,1.79,0.0001
6932.348,1.79,0.0001
6944.742,1.79,0.0001
6957.137,1.78,0.0001
6969.532,1.78,0.0001
6981.926,1.78,0.0001
6994.321,1.77,0.0001
7006.716,1.77,0.0001
7019.11,1.77,0.0001
7031.505,1.76,0.0001
7043.9,1.76,0.0001
7056.294,1.76,0.0001
7068.689,1.75,0.0001
7081.084,1.75,0.0001
7093.478,1.75,0.0001
7105.873,1.74,0.0001
7118.268,1.74,0.0001
7130.662,1.74,0.0001
7143.057,1.74,0.0001
7155.452,1.73,0.0001
7167.846,1.73,0.0001
7180.241,1.73,0.0001
7192.636,1.72,0.0001
7205.03,1.72,0.0001
7217.425,1.72,0.0001
7229.82,1.71,0.0001
7242.215,1.71,0.0001
7254.609,1.71,0.0001
7267.004,1.71,0.0001
7279.399,1.7,0.0001
7291.793,1.7,0.0001
7304.188,1.7,0.0001
7316.583,1.69,0.0001
7328.977,1.69,0.0001
7341.372,1.69,0.0001
7353.767,1.69,0.0001
7366.161,1.68,0.0001
7378.556,1.68,0.0001
7390.951,1.68,0.0001
7403.345,1.67,0.0001
7415.74,1.67,0.0001
7428.135,1.67,0.0001
7440.529,1.67,0.0001
7452.924,1.66,0.0001
7465.319,1.66,0.0001
7477.713,1.66,0.0001
7490.108,1.66,0.0001
7502.503,1.65,0.0001
7514.897,1.65,0.0001
7527.292,1.65,0.0001
7539.687,1.64,0.0002
7552.081,1.64,0.0011
7564.476,1.64,0.0
7576.871,1.64,0.0
7589.265,1.63,0.0001
7601.66,1.63,0.0001
7614.055,1.63,0.0001
7626.449,1.63,0.0001
7638.844,1.62,0.0001
7651.239,1.62,0.0001
7663.634,1.62,0.0001
7676.028,1.62,0.0001
7688.423,1.61,0.0001
7700.818,1.61,0.0001
7713.212,1.61,0.0001
7725.607,1.6,0.0001
7738.002,1.6,0.0001
7750.396,1.6,0.0001
7762.791,1.6,0.0001
7775.186,1.59,0.0001
7787.58,1.59,0.0001
7799.975,1.59,0.0001
7812.37,1.59,0.0001
7824.764,1.58,0.0001
7837.159,1.58,0.0001
7849.554,1.58,0.0001
7861.948,1.58,0.0001
7874.343,1.57,0.0001
7886.738,1.57,0.0001
7899.132,1.57,0.0001
7911.527,1.57,0.0001
7923.922,1.56,0.0001
7936.316,1.56,0.0001
7948.711,1.56,0.0001
7961.106,1.56,0.0001
7973.5,1.55,0.0001
7985.895,1.55,0.0001
7998.29,1.55,0.0001
8010.684,1.55,0.0001
8023.079,1.55,0.0001
8035.474,1.54,0.0001
8047.868,1.54,0.0001
8060.263,1.54,0.0001
8072.658,1.54,0.0001
8085.053,1.53,0.0001
8097.447,1.53,0.0001
8109.842,1.53,0.0001
8122.237,1.53,0.0001
8134.631,1.52,0.0001
8147.026,1.52,0.0001
8159.421,1.52,0.0001
8171.815,1.52,0.0001
8184.21,1.51,0.0001
8196.605,1.51,0.0001
8208.999,1.51,0.0001
8221.394,1.51,0.0001
8233.789,1.51,0.0001
8246.183,1.5,0.0001
8258.578,1.5,0.0001
8270.973,1.5,0.0001
8283.367,1.5,0.0001
8295.762,1.49,0.0001
8308.157,1.49,0.0001
8320.551,1.49,0.0001
8332.946,1.49,0.0001
8345.341,1.49,0.0001
