Lambda (A),Cooper (Mb),Sim (Mb),Diff (Mb),Error (%)
575,12.0,8.9,-3.1,-25.8
500,10.0,10.78,0.78,7.8
400,11.5,11.46,-0.04,-0.3
300,11.0,9.91,-1.09,-9.9
200,8.0,6.34,-1.66,-20.7
100,2.0,1.88,-0.12,-6.1
