Energy (eV),Wavelength (A),Cross Section (Mb)
48.623,254.99,0.172
48.764,254.25,0.1705
48.905,253.52,0.169
49.046,252.79,0.1676
49.188,252.06,0.1662
49.329,251.34,0.1647
49.47,250.62,0.1634
49.611,249.91,0.162
49.753,249.2,0.1606
49.894,248.5,0.1593
50.035,247.79,0.1579
50.176,247.1,0.1566
50.318,246.4,0.1553
50.459,245.71,0.154
50.6,245.03,0.1527
50.741,244.34,0.1515
50.883,243.67,0.1502
51.024,242.99,0.149
51.165,242.32,0.1478
51.306,241.65,0.1466
51.448,240.99,0.1454
51.589,240.33,0.1442
51.73,239.67,0.143
51.871,239.02,0.1419
52.013,238.37,0.1407
52.154,237.73,0.1396
52.295,237.09,0.1385
52.436,236.45,0.1374
52.578,235.81,0.1363
52.719,235.18,0.1352
52.86,234.55,0.1341
53.001,233.93,0.133
53.143,233.3,0.132
53.284,232.69,0.1309
53.425,232.07,0.1299
53.566,231.46,0.1289
53.708,230.85,0.1279
53.849,230.24,0.1269
53.99,229.64,0.1259
54.131,229.04,0.1249
54.273,228.45,0.1239
54.414,227.85,0.123
54.555,227.26,0.122
54.696,226.68,0.1211
54.837,226.09,0.1202
54.979,225.51,0.1192
55.12,224.93,0.1183
55.261,224.36,0.1174
55.402,223.79,0.1165
55.544,223.22,0.1157
55.685,222.65,0.1148
55.826,222.09,0.1139
55.967,221.53,0.1131
56.109,220.97,0.1122
56.25,220.42,0.1114
56.391,219.86,0.1105
56.532,219.31,0.1097
56.674,218.77,0.1089
56.815,218.22,0.1081
56.956,217.68,0.1073
57.097,217.14,0.1065
57.239,216.61,0.1057
57.38,216.08,0.1049
57.521,215.55,0.1042
57.662,215.02,0.1034
57.804,214.49,0.1026
57.945,213.97,0.1019
58.086,213.45,0.1011
58.227,212.93,0.1004
58.369,212.42,0.0997
58.51,211.9,0.099
58.651,211.39,0.0982
58.792,210.88,0.0975
58.934,210.38,0.0968
59.075,209.88,0.0961
59.216,209.38,0.0955
59.357,208.88,0.0948
59.499,208.38,0.0941
59.64,207.89,0.0934
59.781,207.4,0.0928
59.922,206.91,0.0921
60.064,206.42,0.0915
60.205,205.94,0.0908
60.346,205.46,0.0902
60.487,204.98,0.0896
60.629,204.5,0.0889
60.77,204.02,0.0883
