Energy_eV,Sigma_Mb
16.334532213541976,42.029983071180936
16.470316484363618,42.714395404747
16.606100755185263,43.42418595372482
16.741885026006905,44.148738750747185
16.87766929682855,44.87695276289883
17.013453567650192,45.597322415845966
17.149237838471834,46.298067161597245
17.28502210929348,46.96731082330209
17.42080638011512,47.59330707905707
17.556590650936766,48.16470247452072
17.692374921758407,48.67082463185375
17.828159192580053,49.101978832922384
17.963943463401694,49.449734124428886
18.09972773422334,49.70717874240994
18.23551200504498,49.869126019518106
18.371296275866627,49.93225574661569
18.507080546688268,49.89517878809878
18.64286481750991,49.75842255759481
18.778649088331555,49.52433716806384
18.914433359153197,49.855534231125986
19.050217629974842,49.42554997079506
19.186001900796484,48.91494224679518
19.32178617161813,48.33122942222509
19.45757044243977,47.682533978145514
19.593354713261416,46.97730740042025
19.729138984083058,46.22407861332405
19.864923254904703,45.431234769232205
20.000707525726344,44.60683959232235
20.136491796547986,43.7584914656624
20.27227606736963,42.89322005103994
20.408060338191277,42.017418954836245
20.54384460901292,41.136809667650866
20.67962887983456,40.25643220849719
20.815413150656205,39.38065684485156
20.951197421477847,38.513212035520404
21.086981692299492,37.65722409692946
21.222765963121134,36.815264103207014
21.35855023394278,35.98939958423318
21.49433450476442,35.181247208127445
21.630118775586062,34.39202559342125
21.765903046407708,33.62260583498319
21.901687317229353,32.87355919353079
22.037471588050995,32.14520128784373
22.173255858872636,31.437632194722724
22.30904012969428,30.75077255845575
22.444824400515923,30.08439573690783
22.58060867133757,29.438156046854793
22.71639294215921,28.811613236720248
22.852177212980855,28.204254125195032
22.987961483802497,27.615510452836084
23.12374575462414,27.044774756466577
23.259530025445784,26.491413404278852
23.39531429626743,25.954777483099907
23.53109856708907,25.43421212778223
23.666882837910713,24.92906387348656
23.802667108732358,24.438686877706886
23.938451379554,23.962447662572863
24.07423565037564,23.49972919810842
24.210019921197286,23.049933723047587
24.34580419201893,22.61248490655176
24.481588462840573,22.186829789084864
24.617372733662215,21.772439460417367
24.75315700448386,21.36880986505745
24.888941275305505,20.97546220611908
25.024725546127147,20.591942609802537
25.16050981694879,20.217822054455624
25.296294087770434,19.852695812286953
25.43207835859208,19.49618278759899
25.56786262941372,19.147924794442904
25.703646900235363,18.807585526881876
25.839431171057008,18.47484985755571
25.975215441878653,18.149422708901547
26.110999712700295,17.83102785672996
26.246783983521937,17.519407251364893
26.38256825434358,17.214319758992584
26.518352525165223,16.915539964058805
26.654136795986865,16.62285747519533
26.78992106680851,16.336075750525197
26.925705337630156,16.05501102847621
27.061489608451794,15.779491572476307
27.19727387927344,15.509356645200304
27.333058150095084,15.244455688107102
27.468842420916726,14.984647543730265
27.604626691738368,14.729799510041515
27.740410962560013,14.479786795915214
27.876195233381658,14.234491868196411
28.0119795042033,13.993803526582456
28.14776377502494,13.75761651020045
28.283548045846587,13.525831093594917
28.41933231666823,13.298352263515705
28.55511658748987,13.075089322295158
28.690900858311515,12.855955675432938
28.82668512913316,12.640868243347008
28.962469399954802,12.429747075335513
29.098253670776444,12.222515171263161
29.23403794159809,12.019098091061778
29.369822212419734,11.819423705533792
29.505606483241376,11.623422054075963
29.641390754063018,11.431024986588586
29.777175024884663,11.242166008520378
29.912959295706308,11.05678031296492
30.048743566527946,10.87480447248507
30.18452783734959,10.696176186817244
30.320312108171237,10.520834429456198
30.456096378992882,10.348719372542849
30.59188064981452,10.17977206316135
30.727664920636165,10.013934449187582
30.86344919145781,9.85114949599196
30.999233462279456,9.691361002349014
31.135017733101094,9.534513503983824
31.27080200392274,9.380552369531259
31.406586274744384,9.229423739678635
31.542370545566023,9.081074453374178
31.678154816387668,8.935452138228214
31.813939087209313,8.792505169815387
31.94972335803096,8.652182544301764
32.085507628852596,8.514433992943578
32.22129189967424,8.379210087255668
32.35707617049589,8.246462063413848
32.49286044131753,8.116141757090126
32.62864471213917,7.988201808921533
32.764428982960816,7.862595690357903
32.900213253782454,7.739277512234278
33.0359975246041,7.618202046112948
33.171781795425744,7.499324887978929
33.30756606624739,7.382602413588788
33.443350337069035,7.267991673149984
33.57913460789068,7.155450459112128
33.71491887871232,7.044937354036454
33.850703149533956,6.936411655557777
33.9864874203556,6.829833389574863
34.12227169117725,6.725163388484262
34.25805596199889,6.622363222853544
34.39384023282054,6.521395117034249
34.52962450364218,6.422222051080618
34.66540877446382,6.324807839394796
34.801193045285466,6.229116996657833
34.936977316107104,6.135114647869566
35.07276158692875,6.042766656821023
35.208545857750394,5.952039700696817
35.34433012857204,5.862901135269208
35.480114399393685,5.775318912320722
35.61589867021533,5.6892616791818185
35.75168294103697,5.604698827512891
35.88746721185861,5.521600396763382
36.02325148268025,5.439937029616243
36.1590357535019,5.359680029483641
36.29482002432354,5.280801354356891
36.43060429514519,5.203273547007307
36.56638856596683,5.127069748785234
36.70217283678847,5.052163749121845
36.837957107610116,4.978529925150403
36.973741378431754,4.906143156206851
37.1095256492534,4.834978872340619
37.245309920075044,4.76501313423562
37.38109419089669,4.696222564353979
37.516878461718335,4.628584227913964
37.65266273253998,4.562075661999786
37.78844700336162,4.496674977302634
37.92423127418326,4.43236082866616
38.0600155450049,4.369112296954725
38.19579981582655,4.306908874710966
38.33158408664819,4.245730544006362
38.46736835746984,4.185557779897375
38.60315262829148,4.12637147238564
38.73893689911312,4.0681529025372045
38.874721169934766,4.010883782289422
39.010505440756404,3.954546246824499
39.14628971157805,3.8991227994206596
39.282073982399695,3.8445963106647705
39.41785825322134,3.7909500617205185
39.553642524042985,3.73816772254544
39.68942679486462,3.6862332749131514
39.82521106568627,3.635131005028528
39.96099533650791,3.584845574396808
40.09677960732955,3.5353620329655846
40.2325638781512,3.486665731955008
40.36834814897284,3.4387422668974548
40.50413241979449,3.391577531937198
40.639916690616126,3.345157780797267
40.775700961437764,3.2994695850016957
40.91148523225941,3.2544997533523703
41.047269503081054,3.210235330900622
41.1830537739027,3.166663655186882
41.318838044724345,3.1237723621015205
41.45462231554599,3.0815493332671346
41.59040658636763,3.0399826720914382
41.72619085718927,2.9990607309850903
41.86197512801091,2.958772120067728
41.99775939883256,2.919105670845292
42.1335436696542,2.8800504170098487
42.26932794047585,2.8415956242433094
42.40511221129749,2.803730807416416
42.54089648211913,2.766445688282979
42.676680752940776,2.729730150300771
