Energy_eV,Sigma_Mb
16.0779422426828,71.75862202704363
16.21372651350444,71.02150168650857
16.349510784326085,70.2178760947694
16.485295055147727,69.35758757045753
16.621079325969372,68.44948020374949
16.756863596791014,67.50148183910648
16.892647867612656,66.52068271903721
17.0284321384343,65.51341000055976
17.164216409255943,64.48529770011946
17.300000680077588,63.4413518580118
17.43578495089923,62.38601090514281
17.571569221720875,61.32320107803527
17.707353492542516,60.25638723801658
17.84313776336416,59.18861949003285
17.978922034185803,58.12257544994296
18.114706305007445,57.06059839381069
18.25049057582909,56.004732499313704
18.386274846650736,54.95675380893867
18.522059117472377,53.91819885317093
18.65784338829402,53.51537497049944
18.793627659115664,52.491065537830735
18.929411929937306,51.479777967109726
19.06519620075895,50.48231676513577
19.200980471580593,49.49935172486036
19.336764742402238,48.53143302152871
19.47254901322388,47.579004625841776
19.608333284045525,46.64241632137039
19.744117554867167,45.72193459745708
19.879901825688812,44.817752188745594
20.015686096510453,43.92999688634023
20.151470367332095,43.05873912481609
20.28725463815374,42.203999066118485
20.423038908975382,41.36575267100647
20.558823179797027,40.54393730895035
20.69460745061867,39.738456723841196
20.830391721440314,38.94918532970626
20.966175992261956,38.17597239139104
21.101960263083598,37.41864523621611
21.237744533905243,36.67701271561839
21.373528804726888,35.95086774953096
21.50931307554853,35.23998995024219
21.64509734637017,34.544147840545676
21.780881617191817,33.86310075137242
21.916665888013462,33.19660063863629
22.052450158835104,32.54439364883131
22.188234429656745,31.906221426019766
22.32401870047839,31.281822369058716
22.459802971300032,30.67093282619229
22.595587242121677,30.07328772653198
22.73137151294332,29.488621860798652
22.867155783764964,28.916670223728087
23.002940054586606,28.357168844983924
23.138724325408248,27.809855395696278
23.274508596229893,27.27446951231074
23.41029286705154,26.750753373366702
23.54607713787318,26.23845195390095
23.68186140869482,25.73731348890957
23.817645679516467,25.247089489612442
23.95342995033811,24.767535227090043
24.08921422115975,24.29840985930494
24.224998491981395,23.839476330283613
24.36078276280304,23.39050193625564
24.496567033624682,22.9512580996326
24.632351304446324,22.521520450848502
24.76813557526797,22.10106912888268
24.903919846089615,21.68968855235213
25.039704116911256,21.28716758496018
25.175488387732898,20.89329948750258
25.311272658554543,20.507881926248114
25.44705692937619,20.130717046707733
25.58284120019783,19.761611192280228
25.71862547101947,19.40037514247528
25.854409741841117,19.04682405959729
25.99019401266276,18.70077711521035
26.1259782834844,18.36205780631547
26.261762554306046,18.030493844085207
26.39754682512769,17.70591680974262
26.533331095949332,17.388162386509713
26.669115366770974,17.077070234864955
26.80489963759262,16.77248378648908
26.94068390841426,16.474250328157343
27.076468179235903,16.182220815431357
27.212252450057548,15.896249852113947
27.348036720879193,15.616195707758683
27.483820991700835,15.341919998728102
27.619605262522477,15.07328776654415
27.755389533344122,14.810167573180156
27.891173804165767,14.55243109187695
28.026958074987405,14.299953112993258
28.16274234580905,14.052611745109777
28.298526616630696,13.810288076521687
28.434310887452337,13.572866044577651
28.57009515827398,13.340232608288929
28.705879429095624,13.112277559794519
28.84166369991727,12.888893382064404
28.97744797073891,12.669975309692521
29.113232241560553,12.455421167712393
29.249016512382198,12.245131308550237
29.384800783203843,12.039008689008423
29.52058505402548,11.836958640764294
29.656369324847127,11.638888749156601
29.792153595668772,11.444709049315467
29.927937866490417,11.254331882873544
30.063722137312055,11.067671602583207
30.1995064081337,10.8846447165239
30.335290678955346,10.705169968659177
30.47107494977699,10.529168046080173
30.60685922059863,10.356561512705898
30.742643491420274,10.187274948723035
30.87842776224192,10.02123482397499
31.014212033063565,9.858369360715784
31.149996303885203,9.698608591279351
31.28578057470685,9.54188428360578
31.421564845528493,9.388129819582336
31.55734911635013,9.2372802724535
31.693133387171777,9.089272373157577
31.82891765799342,8.944044293565572
31.964701928815064,8.801535672882503
32.100486199636705,8.661687762635369
32.23627047045835,8.524443256870644
32.372054741279996,8.389746094001445
32.50783901210164,8.257541587595316
32.64362328292328,8.127776505652092
32.779407553744925,8.0003988632372
32.91519182456656,7.875357827615189
33.05097609538821,7.75260383519578
33.18676036620985,7.632088567174964
33.3225446370315,7.513764811014131
33.458328907853144,7.397586469939293
33.59411317867478,7.283508588800789
33.72989744949643,7.171487246404014
33.865681720318065,7.061479524085959
34.00146599113971,6.953443588243633
34.137250261961356,6.847338623888158
34.273034532783,6.743124677676838
34.408818803604646,6.640762703320113
34.54460307442629,6.540214681101615
34.68038734524793,6.441443508917531
34.816171616069575,6.344412833596765
34.95195588689121,6.249087115267214
35.08774015771286,6.155431742108783
35.2235244285345,6.06341293080597
35.35930869935615,5.972997590392875
35.495092970177794,5.884153369198903
35.63087724099944,5.796848720858259
35.76666151182108,5.711052827054085
35.902445782642715,5.626735529324483
36.03823005346436,5.543867369265506
36.174014324286006,5.462419586422523
36.30979859510765,5.38236403364295
36.445582865929296,5.303673172231652
36.58136713675094,5.22632014166483
36.71715140757258,5.150278719091949
36.852935678394225,5.0755231979073105
36.98871994921586,5.00202839586479
37.12450422003751,4.9297697632239545
37.26028849085915,4.858723361284591
37.3960727616808,4.788865721402681
37.531857032502444,4.7201738176233246
37.66764130332409,4.652625172459374
37.80342557414573,4.586197878032235
37.939209844967365,4.520870485793902
38.07499411578901,4.456621951639796
38.210778386610656,4.393431697744273
38.3465626574323,4.3312796409901555
38.482346928253946,4.270146128688481
38.61813119907559,4.21001190170773
38.75391546989723,4.150858129733293
38.889699740718875,4.092666412649505
39.02548401154051,4.035418719452213
39.16126828236216,3.9790973739566913
39.2970525531838,3.9236851107662414
39.43283682400545,3.8691650788325385
