Wavelength (A),Exp (Mb),Sim (Mb),Error (%)
2.0,0.002,0.0,-96.3
1.8,0.001,0.0,-100.0
1.6,0.001,0.0,-100.0
1.4,0.001,0.0,-100.0
1.2,0.0,0.0,-100.0
1.0,0.0,0.0,-100.0
0.8,0.0,0.0,-100.0
0.6,0.0,0.0,-99.9
0.4,0.0,0.0,-99.8
0.2,0.0,0.0,-98.2
