Energy_au,CrossSection_au,CrossSection_Mb
1.000000e-03,1.159272e-01,3.246287e+00
4.020202e-03,1.143716e-01,3.202725e+00
7.040404e-03,1.127989e-01,3.158684e+00
1.006061e-02,1.102905e-01,3.088444e+00
1.308081e-02,1.086918e-01,3.043675e+00
1.610101e-02,1.071185e-01,2.999619e+00
1.912121e-02,1.055576e-01,2.955908e+00
2.214141e-02,1.040280e-01,2.913076e+00
2.516162e-02,1.025243e-01,2.870966e+00
2.818182e-02,1.010488e-01,2.829648e+00
3.120202e-02,9.960049e-02,2.789093e+00
3.422222e-02,9.818023e-02,2.749321e+00
3.724242e-02,9.678712e-02,2.710310e+00
4.026263e-02,9.542249e-02,2.672097e+00
4.328283e-02,9.408663e-02,2.634689e+00
4.630303e-02,9.277847e-02,2.598057e+00
4.932323e-02,9.150218e-02,2.562317e+00
5.234343e-02,9.024322e-02,2.527063e+00
5.536364e-02,8.901892e-02,2.492779e+00
5.838384e-02,8.780959e-02,2.458914e+00
6.140404e-02,8.662542e-02,2.425754e+00
6.442424e-02,8.546421e-02,2.393237e+00
6.744444e-02,8.432235e-02,2.361262e+00
7.046465e-02,8.320350e-02,2.329931e+00
7.348485e-02,8.210113e-02,2.299061e+00
7.650505e-02,8.101658e-02,2.268691e+00
7.952525e-02,7.994592e-02,2.238710e+00
8.254545e-02,7.889109e-02,2.209171e+00
8.556566e-02,7.785406e-02,2.180132e+00
8.858586e-02,7.683081e-02,2.151478e+00
9.160606e-02,7.581752e-02,2.123103e+00
9.462626e-02,7.481840e-02,2.095125e+00
9.764646e-02,7.383100e-02,2.067475e+00
1.006667e-01,7.335798e-02,2.054229e+00
1.036869e-01,7.236826e-02,2.026514e+00
1.067071e-01,7.141455e-02,1.999807e+00
1.097273e-01,7.047051e-02,1.973372e+00
1.127475e-01,6.950766e-02,1.946409e+00
1.157677e-01,6.857828e-02,1.920384e+00
1.187879e-01,6.763928e-02,1.894089e+00
1.218081e-01,6.672291e-02,1.868428e+00
1.248283e-01,6.581895e-02,1.843115e+00
1.278485e-01,6.489678e-02,1.817291e+00
1.308687e-01,6.400367e-02,1.792282e+00
1.338889e-01,6.311677e-02,1.767446e+00
1.369091e-01,6.221760e-02,1.742267e+00
1.399293e-01,6.134107e-02,1.717722e+00
1.429495e-01,6.047086e-02,1.693353e+00
1.459697e-01,5.959832e-02,1.668920e+00
1.489899e-01,5.873529e-02,1.644753e+00
1.520101e-01,5.788440e-02,1.620925e+00
1.550303e-01,5.702479e-02,1.596854e+00
1.580505e-01,5.618546e-02,1.573350e+00
1.610707e-01,5.534925e-02,1.549934e+00
1.640909e-01,5.451182e-02,1.526484e+00
1.671111e-01,5.369049e-02,1.503484e+00
1.701313e-01,5.287305e-02,1.480593e+00
1.731515e-01,5.205468e-02,1.457677e+00
1.761717e-01,5.125173e-02,1.435192e+00
1.791919e-01,5.045881e-02,1.412988e+00
1.822121e-01,4.965842e-02,1.390575e+00
1.852323e-01,4.887398e-02,1.368608e+00
1.882525e-01,4.810068e-02,1.346954e+00
1.912727e-01,4.732370e-02,1.325196e+00
1.942929e-01,4.656270e-02,1.303886e+00
1.973131e-01,4.581231e-02,1.282873e+00
2.003333e-01,4.506550e-02,1.261960e+00
2.033535e-01,4.432237e-02,1.241151e+00
2.063737e-01,4.359270e-02,1.220718e+00
2.093939e-01,4.286977e-02,1.200474e+00
2.124141e-01,4.215291e-02,1.180399e+00
2.154343e-01,4.144498e-02,1.160576e+00
2.184545e-01,4.075143e-02,1.141154e+00
2.214747e-01,4.006402e-02,1.121905e+00
2.244949e-01,3.937735e-02,1.102676e+00
2.275152e-01,3.870809e-02,1.083935e+00
2.305354e-01,3.804772e-02,1.065443e+00
2.335556e-01,3.739730e-02,1.047229e+00
2.365758e-01,3.674820e-02,1.029053e+00
2.395960e-01,3.611243e-02,1.011249e+00
2.426162e-01,3.549150e-02,9.938612e-01
2.456364e-01,3.486930e-02,9.764379e-01
2.486566e-01,3.426415e-02,9.594921e-01
2.516768e-01,3.366508e-02,9.427164e-01
2.546970e-01,3.307786e-02,9.262728e-01
2.577172e-01,3.249506e-02,9.099528e-01
2.607374e-01,3.192922e-02,8.941075e-01
2.637576e-01,3.136816e-02,8.783963e-01
2.667778e-01,3.081527e-02,8.629138e-01
2.697980e-01,3.027458e-02,8.477731e-01
2.728182e-01,2.973997e-02,8.328026e-01
2.758384e-01,2.921401e-02,8.180739e-01
2.788586e-01,2.869954e-02,8.036675e-01
2.818788e-01,2.819270e-02,7.894744e-01
2.848990e-01,2.769541e-02,7.755489e-01
2.879192e-01,2.720802e-02,7.619006e-01
2.909394e-01,2.672886e-02,7.484830e-01
2.939596e-01,2.625934e-02,7.353349e-01
2.969798e-01,2.579510e-02,7.223349e-01
3.000000e-01,2.534201e-02,7.096473e-01
3.100000e-01,2.390181e-02,6.693175e-01
3.270707e-01,2.164346e-02,6.060775e-01
3.441414e-01,1.962275e-02,5.494919e-01
3.612121e-01,1.781788e-02,4.989505e-01
3.782828e-01,1.620886e-02,4.538935e-01
3.953535e-01,1.477077e-02,4.136228e-01
4.124242e-01,1.348724e-02,3.776806e-01
4.294949e-01,1.233856e-02,3.455141e-01
4.465657e-01,1.130970e-02,3.167032e-01
4.636364e-01,1.038532e-02,2.908179e-01
4.807071e-01,9.552917e-03,2.675084e-01
4.977778e-01,8.802941e-03,2.465070e-01
5.148485e-01,8.124615e-03,2.275120e-01
5.319192e-01,7.511206e-03,2.103348e-01
5.489899e-01,6.954847e-03,1.947552e-01
5.660606e-01,6.450732e-03,1.806386e-01
5.831313e-01,5.994022e-03,1.678494e-01
6.002020e-01,5.581059e-03,1.562853e-01
6.172727e-01,5.206104e-03,1.457855e-01
6.343434e-01,4.867643e-03,1.363076e-01
6.514141e-01,4.562865e-03,1.277730e-01
6.684848e-01,4.288082e-03,1.200783e-01
6.855556e-01,4.041328e-03,1.131685e-01
7.026263e-01,3.820201e-03,1.069763e-01
7.196970e-01,3.622165e-03,1.014308e-01
7.367677e-01,3.445964e-03,9.649663e-02
7.538384e-01,3.288561e-03,9.208891e-02
7.709091e-01,3.149001e-03,8.818083e-02
7.879798e-01,3.025040e-03,8.470960e-02
8.050505e-01,2.915544e-03,8.164338e-02
8.221212e-01,2.818727e-03,7.893225e-02
8.391919e-01,2.733376e-03,7.654219e-02
8.562626e-01,2.658684e-03,7.445061e-02
8.733333e-01,2.592317e-03,7.259214e-02
8.904040e-01,2.534514e-03,7.097349e-02
9.074747e-01,2.483586e-03,6.954735e-02
9.245455e-01,2.439006e-03,6.829899e-02
9.416162e-01,2.399941e-03,6.720506e-02
9.586869e-01,2.366039e-03,6.625571e-02
9.757576e-01,2.334640e-03,6.537646e-02
9.928283e-01,2.307377e-03,6.461301e-02
1.009899e+00,2.282675e-03,6.392130e-02
1.026970e+00,2.260088e-03,6.328880e-02
1.044040e+00,2.238946e-03,6.269677e-02
1.061111e+00,2.218912e-03,6.213574e-02
1.078182e+00,2.199489e-03,6.159185e-02
1.095253e+00,2.180194e-03,6.105154e-02
1.112323e+00,2.160563e-03,6.050181e-02
1.129394e+00,2.140552e-03,5.994144e-02
1.146465e+00,2.119534e-03,5.935288e-02
1.163535e+00,2.097349e-03,5.873164e-02
1.180606e+00,2.073997e-03,5.807772e-02
1.197677e+00,2.049147e-03,5.738187e-02
1.214747e+00,2.022647e-03,5.663977e-02
1.231818e+00,1.994512e-03,5.585192e-02
1.248889e+00,1.964772e-03,5.501911e-02
1.265960e+00,1.933396e-03,5.414050e-02
1.283030e+00,1.900589e-03,5.322182e-02
1.300101e+00,1.866297e-03,5.226154e-02
1.317172e+00,1.830730e-03,5.126558e-02
1.334242e+00,1.794069e-03,5.023895e-02
1.351313e+00,1.756467e-03,4.918598e-02
1.368384e+00,1.718212e-03,4.811474e-02
1.385455e+00,1.679191e-03,4.702204e-02
1.402525e+00,1.640012e-03,4.592494e-02
1.419596e+00,1.600514e-03,4.481886e-02
1.436667e+00,1.561080e-03,4.371461e-02
1.453737e+00,1.521843e-03,4.261587e-02
1.470808e+00,1.482903e-03,4.152543e-02
1.487879e+00,1.444486e-03,4.044966e-02
1.504949e+00,1.406586e-03,3.938835e-02
1.522020e+00,1.369926e-03,3.836177e-02
1.539091e+00,1.333021e-03,3.732831e-02
1.556162e+00,1.297482e-03,3.633314e-02
1.573232e+00,1.262875e-03,3.536405e-02
1.590303e+00,1.229238e-03,3.442211e-02
1.607374e+00,1.196530e-03,3.350618e-02
1.624444e+00,1.164833e-03,3.261858e-02
1.641515e+00,1.134926e-03,3.178110e-02
1.658586e+00,1.104476e-03,3.092841e-02
1.675657e+00,1.075802e-03,3.012547e-02
1.692727e+00,1.048112e-03,2.935006e-02
1.709798e+00,1.021355e-03,2.860081e-02
1.726869e+00,9.955343e-04,2.787775e-02
1.743939e+00,9.705632e-04,2.717849e-02
1.761010e+00,9.464903e-04,2.650438e-02
1.778081e+00,9.232803e-04,2.585443e-02
1.795152e+00,9.008115e-04,2.522524e-02
1.812222e+00,8.791136e-04,2.461764e-02
1.829293e+00,8.581206e-04,2.402978e-02
1.846364e+00,8.379906e-04,2.346608e-02
1.863434e+00,8.181754e-04,2.291120e-02
1.880505e+00,7.991568e-04,2.237863e-02
1.897576e+00,7.807204e-04,2.186236e-02
1.914646e+00,7.628715e-04,2.136254e-02
1.931717e+00,7.455532e-04,2.087758e-02
1.948788e+00,7.287168e-04,2.040611e-02
1.965859e+00,7.124859e-04,1.995160e-02
1.982929e+00,6.965782e-04,1.950614e-02
2.000000e+00,6.811684e-04,1.907462e-02
