Energy_au,CrossSection_au,CrossSection_Mb
1.000000e-03,2.451658e-03,6.865328e-02
4.020202e-03,2.620394e-03,7.337836e-02
7.040404e-03,2.791266e-03,7.816326e-02
1.006061e-02,3.921847e-03,1.098227e-01
1.308081e-02,4.107984e-03,1.150351e-01
1.610101e-02,4.294208e-03,1.202499e-01
1.912121e-02,4.480210e-03,1.254584e-01
2.214141e-02,4.665294e-03,1.306413e-01
2.516162e-02,4.849023e-03,1.357862e-01
2.818182e-02,5.030775e-03,1.408758e-01
3.120202e-02,5.209910e-03,1.458921e-01
3.422222e-02,5.385736e-03,1.508157e-01
3.724242e-02,5.557455e-03,1.556243e-01
4.026263e-02,5.724300e-03,1.602964e-01
4.328283e-02,5.885593e-03,1.648131e-01
4.630303e-02,6.040535e-03,1.691519e-01
4.932323e-02,6.188184e-03,1.732865e-01
5.234343e-02,6.327630e-03,1.771914e-01
5.536364e-02,6.458631e-03,1.808598e-01
5.838384e-02,6.579545e-03,1.842457e-01
6.140404e-02,6.690200e-03,1.873443e-01
6.442424e-02,6.790349e-03,1.901488e-01
6.744444e-02,6.878093e-03,1.926059e-01
7.046465e-02,6.954070e-03,1.947334e-01
7.348485e-02,7.017355e-03,1.965056e-01
7.650505e-02,7.067695e-03,1.979152e-01
7.952525e-02,7.104683e-03,1.989510e-01
8.254545e-02,7.128237e-03,1.996106e-01
8.556566e-02,7.138403e-03,1.998953e-01
8.858586e-02,7.135082e-03,1.998023e-01
9.160606e-02,7.118647e-03,1.993420e-01
9.462626e-02,7.089223e-03,1.985181e-01
9.764646e-02,7.047214e-03,1.973417e-01
1.006667e-01,7.383113e-03,2.067478e-01
1.036869e-01,7.296163e-03,2.043130e-01
1.067071e-01,7.198548e-03,2.015795e-01
1.097273e-01,7.090922e-03,1.985657e-01
1.127475e-01,6.973719e-03,1.952837e-01
1.157677e-01,6.848658e-03,1.917816e-01
1.187879e-01,6.715284e-03,1.880468e-01
1.218081e-01,6.575384e-03,1.841292e-01
1.248283e-01,6.429967e-03,1.800571e-01
1.278485e-01,6.279064e-03,1.758314e-01
1.308687e-01,6.124140e-03,1.714931e-01
1.338889e-01,5.965617e-03,1.670540e-01
1.369091e-01,5.804273e-03,1.625359e-01
1.399293e-01,5.641318e-03,1.579727e-01
1.429495e-01,5.476891e-03,1.533683e-01
1.459697e-01,5.311726e-03,1.487432e-01
1.489899e-01,5.146498e-03,1.441164e-01
1.520101e-01,4.981789e-03,1.395040e-01
1.550303e-01,4.817895e-03,1.349146e-01
1.580505e-01,4.655507e-03,1.303672e-01
1.610707e-01,4.494815e-03,1.258674e-01
1.640909e-01,4.335979e-03,1.214195e-01
1.671111e-01,4.179924e-03,1.170496e-01
1.701313e-01,4.026195e-03,1.127447e-01
1.731515e-01,3.875188e-03,1.085161e-01
1.761717e-01,3.727495e-03,1.043803e-01
1.791919e-01,3.583081e-03,1.003363e-01
1.822121e-01,3.441949e-03,9.638421e-02
1.852323e-01,3.304000e-03,9.252126e-02
