Energy_au,CrossSection_au,CrossSection_Mb
1.000000e-03,5.664556e-04,1.586234e-02
4.020202e-03,1.249489e-03,3.498920e-02
7.040404e-03,1.938302e-03,5.427788e-02
1.006061e-02,5.538484e-03,1.550931e-01
1.308081e-02,6.328282e-03,1.772096e-01
1.610101e-02,7.096772e-03,1.987295e-01
1.912121e-02,7.824874e-03,2.191184e-01
2.214141e-02,8.478122e-03,2.374112e-01
2.516162e-02,9.021790e-03,2.526354e-01
2.818182e-02,9.429531e-03,2.640533e-01
3.120202e-02,9.688432e-03,2.713032e-01
3.422222e-02,9.798077e-03,2.743736e-01
3.724242e-02,9.769410e-03,2.735708e-01
4.026263e-02,9.620635e-03,2.694047e-01
4.328283e-02,9.372528e-03,2.624570e-01
4.630303e-02,9.047587e-03,2.533578e-01
4.932323e-02,8.666482e-03,2.426858e-01
5.234343e-02,8.246402e-03,2.309224e-01
5.536364e-02,7.803835e-03,2.185292e-01
5.838384e-02,7.349998e-03,2.058205e-01
6.140404e-02,6.894638e-03,1.930692e-01
6.442424e-02,6.445744e-03,1.804989e-01
6.744444e-02,6.007061e-03,1.682145e-01
7.046465e-02,5.583623e-03,1.563571e-01
7.348485e-02,5.177672e-03,1.449893e-01
7.650505e-02,4.790512e-03,1.341477e-01
7.952525e-02,4.423238e-03,1.238631e-01
8.254545e-02,4.076046e-03,1.141407e-01
8.556566e-02,3.748868e-03,1.049788e-01
8.858586e-02,3.441372e-03,9.636806e-02
9.160606e-02,3.152980e-03,8.829227e-02
9.462626e-02,2.883056e-03,8.073363e-02
9.764646e-02,2.630852e-03,7.367122e-02
1.006667e-01,1.803035e-03,5.049001e-02
1.036869e-01,1.622660e-03,4.543901e-02
1.067071e-01,1.455954e-03,4.077080e-02
1.097273e-01,1.302328e-03,3.646883e-02
1.127475e-01,1.160921e-03,3.250904e-02
1.157677e-01,1.031092e-03,2.887346e-02
1.187879e-01,9.121821e-04,2.554365e-02
1.218081e-01,8.035473e-04,2.250157e-02
1.248283e-01,7.045692e-04,1.972991e-02
1.278485e-01,6.147312e-04,1.721419e-02
1.308687e-01,5.334856e-04,1.493909e-02
1.338889e-01,4.603841e-04,1.289204e-02
1.369091e-01,3.949425e-04,1.105950e-02
1.399293e-01,3.366877e-04,9.428199e-03
1.429495e-01,2.852809e-04,7.988663e-03
1.459697e-01,2.403191e-04,6.729607e-03
1.489899e-01,2.014411e-04,5.640915e-03
1.520101e-01,1.683270e-04,4.713627e-03
1.550303e-01,1.406676e-04,3.939088e-03
1.580505e-01,1.181725e-04,3.309162e-03
1.610707e-01,1.005731e-04,2.816329e-03
1.640909e-01,8.761090e-05,2.453350e-03
1.671111e-01,7.905082e-05,2.213644e-03
1.701313e-01,7.466247e-05,2.090758e-03
1.731515e-01,7.424062e-05,2.078945e-03
1.761717e-01,7.758350e-05,2.172555e-03
1.791919e-01,8.450221e-05,2.366298e-03
1.822121e-01,9.481871e-05,2.655189e-03
1.852323e-01,1.083635e-04,3.034483e-03
1.882525e-01,1.249756e-04,3.499666e-03
1.912727e-01,1.445000e-04,4.046405e-03
1.942929e-01,1.667924e-04,4.670654e-03
1.973131e-01,1.917172e-04,5.368620e-03
2.003333e-01,2.191205e-04,6.135988e-03
2.033535e-01,2.488908e-04,6.969640e-03
2.063737e-01,2.808963e-04,7.865884e-03
2.093939e-01,3.150156e-04,8.821319e-03
2.124141e-01,3.511296e-04,9.832612e-03
2.154343e-01,3.891244e-04,1.089657e-02
2.184545e-01,4.288878e-04,1.201006e-02
2.214747e-01,4.703052e-04,1.316986e-02
2.244949e-01,5.132656e-04,1.437287e-02
2.275152e-01,5.576702e-04,1.561633e-02
2.305354e-01,6.034097e-04,1.689716e-02
2.335556e-01,6.503780e-04,1.821240e-02
2.365758e-01,6.984611e-04,1.955887e-02
2.395960e-01,7.475696e-04,2.093404e-02
2.426162e-01,7.976088e-04,2.233528e-02
2.456364e-01,8.484460e-04,2.375886e-02
2.486566e-01,8.999879e-04,2.520218e-02
2.516768e-01,9.521694e-04,2.666341e-02
2.546970e-01,1.004836e-03,2.813823e-02
2.577172e-01,1.057895e-03,2.962403e-02
2.607374e-01,1.111251e-03,3.111814e-02
2.637576e-01,1.164801e-03,3.261770e-02
2.667778e-01,1.218517e-03,3.412190e-02
2.697980e-01,1.272104e-03,3.562248e-02
2.728182e-01,1.325615e-03,3.712093e-02
2.758384e-01,1.378933e-03,3.861398e-02
2.788586e-01,1.431882e-03,4.009669e-02
2.818788e-01,1.484423e-03,4.156800e-02
2.848990e-01,1.536452e-03,4.302496e-02
2.879192e-01,1.587833e-03,4.446376e-02
2.909394e-01,1.638485e-03,4.588216e-02
2.939596e-01,1.688339e-03,4.727821e-02
2.969798e-01,1.737181e-03,4.864594e-02
3.000000e-01,1.785053e-03,4.998648e-02
3.100000e-01,1.935034e-03,5.418636e-02
3.270707e-01,2.153805e-03,6.031256e-02
3.441414e-01,2.314753e-03,6.481956e-02
3.612121e-01,2.410080e-03,6.748899e-02
3.782828e-01,2.437686e-03,6.826203e-02
3.953535e-01,2.401391e-03,6.724568e-02
4.124242e-01,2.309665e-03,6.467710e-02
4.294949e-01,2.173913e-03,6.087566e-02
4.465657e-01,2.006657e-03,5.619203e-02
4.636364e-01,1.819945e-03,5.096356e-02
4.807071e-01,1.624290e-03,4.548466e-02
4.977778e-01,1.428216e-03,3.999404e-02
5.148485e-01,1.238057e-03,3.466908e-02
5.319192e-01,1.058400e-03,2.963817e-02
5.489899e-01,8.922223e-04,2.498472e-02
5.660606e-01,7.411290e-04,2.075369e-02
5.831313e-01,6.060121e-04,1.697003e-02
6.002020e-01,4.870682e-04,1.363927e-02
6.172727e-01,3.837587e-04,1.074632e-02
6.343434e-01,2.957166e-04,8.280893e-03
6.514141e-01,2.220595e-04,6.218289e-03
6.684848e-01,1.618681e-04,4.532761e-03
6.855556e-01,1.140898e-04,3.194835e-03
7.026263e-01,7.765426e-05,2.174537e-03
7.196970e-01,5.140169e-05,1.439391e-03
7.367677e-01,3.412321e-05,9.555455e-04
7.538384e-01,2.457228e-05,6.880926e-04
7.709091e-01,2.146774e-05,6.011568e-04
7.879798e-01,2.352166e-05,6.586723e-04
8.050505e-01,2.946526e-05,8.251096e-04
8.221212e-01,3.808538e-05,1.066497e-03
