Energy_au,CrossSection_au,CrossSection_Mb
1.000000e-03,5.663648e-03,1.585980e-01
4.020202e-03,3.886176e-03,1.088238e-01
7.040404e-03,3.959318e-03,1.108720e-01
1.006061e-02,3.815378e-03,1.068413e-01
1.308081e-02,4.025980e-03,1.127387e-01
1.610101e-02,4.244551e-03,1.188593e-01
1.912121e-02,4.464592e-03,1.250211e-01
2.214141e-02,4.682918e-03,1.311348e-01
2.516162e-02,4.898334e-03,1.371671e-01
2.818182e-02,5.109418e-03,1.430780e-01
3.120202e-02,5.315623e-03,1.488523e-01
3.422222e-02,5.516214e-03,1.544695e-01
3.724242e-02,5.710215e-03,1.599020e-01
4.026263e-02,5.897397e-03,1.651436e-01
4.328283e-02,6.076443e-03,1.701574e-01
4.630303e-02,6.247168e-03,1.749382e-01
4.932323e-02,6.409137e-03,1.794738e-01
5.234343e-02,6.560697e-03,1.837179e-01
5.536364e-02,6.702381e-03,1.876854e-01
5.838384e-02,6.832752e-03,1.913362e-01
6.140404e-02,6.951418e-03,1.946592e-01
6.442424e-02,7.058241e-03,1.976505e-01
6.744444e-02,7.152562e-03,2.002918e-01
7.046465e-02,7.234011e-03,2.025726e-01
7.348485e-02,7.302312e-03,2.044852e-01
7.650505e-02,7.357304e-03,2.060251e-01
7.952525e-02,7.399235e-03,2.071993e-01
8.254545e-02,7.426482e-03,2.079623e-01
8.556566e-02,7.440940e-03,2.083672e-01
8.858586e-02,7.441803e-03,2.083913e-01
9.160606e-02,7.429631e-03,2.080505e-01
9.462626e-02,7.404540e-03,2.073479e-01
9.764646e-02,7.367036e-03,2.062976e-01
1.006667e-01,7.476421e-03,2.093607e-01
1.036869e-01,7.413244e-03,2.075916e-01
1.067071e-01,7.338488e-03,2.054982e-01
1.097273e-01,7.253283e-03,2.031122e-01
1.127475e-01,7.158086e-03,2.004464e-01
1.157677e-01,7.053760e-03,1.975250e-01
1.187879e-01,6.941111e-03,1.943705e-01
1.218081e-01,6.820698e-03,1.909986e-01
1.248283e-01,6.693446e-03,1.874352e-01
1.278485e-01,6.559979e-03,1.836978e-01
1.308687e-01,6.420998e-03,1.798059e-01
1.338889e-01,6.277462e-03,1.757865e-01
1.369091e-01,6.129907e-03,1.716545e-01
1.399293e-01,5.978768e-03,1.674222e-01
1.429495e-01,5.825236e-03,1.631229e-01
1.459697e-01,5.669590e-03,1.587644e-01
1.489899e-01,5.512499e-03,1.543654e-01
1.520101e-01,5.354460e-03,1.499399e-01
1.550303e-01,5.196120e-03,1.455059e-01
1.580505e-01,5.037771e-03,1.410717e-01
