Energy_au,CrossSection_au,CrossSection_Mb
1.000000e-03,3.496554e-03,9.791330e-02
4.020202e-03,1.171335e+00,3.280065e+01
7.040404e-03,6.131278e-01,1.716930e+01
1.006061e-02,2.752174e-01,7.706859e+00
1.308081e-02,1.976010e-01,5.533382e+00
1.610101e-02,1.626320e-01,4.554151e+00
1.912121e-02,1.418323e-01,3.971701e+00
2.214141e-02,1.275599e-01,3.572036e+00
2.516162e-02,1.168907e-01,3.273268e+00
2.818182e-02,1.084490e-01,3.036876e+00
3.120202e-02,1.015100e-01,2.842565e+00
3.422222e-02,9.564086e-02,2.678212e+00
3.724242e-02,9.056726e-02,2.536137e+00
4.026263e-02,8.610810e-02,2.411268e+00
4.328283e-02,8.213436e-02,2.299992e+00
4.630303e-02,7.855434e-02,2.199741e+00
4.932323e-02,7.529723e-02,2.108533e+00
5.234343e-02,7.231077e-02,2.024904e+00
5.536364e-02,6.955422e-02,1.947713e+00
5.838384e-02,6.699566e-02,1.876066e+00
6.140404e-02,6.460558e-02,1.809137e+00
6.442424e-02,6.236667e-02,1.746441e+00
6.744444e-02,6.025447e-02,1.687294e+00
7.046465e-02,5.825925e-02,1.631422e+00
7.348485e-02,5.636703e-02,1.578435e+00
7.650505e-02,5.456759e-02,1.528045e+00
7.952525e-02,5.284988e-02,1.479945e+00
8.254545e-02,5.120694e-02,1.433938e+00
8.556566e-02,4.963247e-02,1.389848e+00
8.858586e-02,4.811828e-02,1.347446e+00
9.160606e-02,4.666138e-02,1.306649e+00
9.462626e-02,4.525540e-02,1.267278e+00
9.764646e-02,4.389777e-02,1.229260e+00
1.006667e-01,4.109702e-02,1.150832e+00
1.036869e-01,3.981952e-02,1.115058e+00
1.067071e-01,3.858064e-02,1.080366e+00
1.097273e-01,3.737305e-02,1.046550e+00
1.127475e-01,3.619875e-02,1.013666e+00
1.157677e-01,3.505328e-02,9.815899e-01
1.187879e-01,3.393681e-02,9.503257e-01
1.218081e-01,3.284769e-02,9.198274e-01
1.248283e-01,3.178333e-02,8.900222e-01
1.278485e-01,3.074399e-02,8.609178e-01
1.308687e-01,2.972843e-02,8.324793e-01
1.338889e-01,2.873532e-02,8.046695e-01
1.369091e-01,2.776334e-02,7.774513e-01
1.399293e-01,2.681382e-02,7.508621e-01
1.429495e-01,2.588335e-02,7.248064e-01
1.459697e-01,2.497348e-02,6.993273e-01
1.489899e-01,2.408281e-02,6.743861e-01
1.520101e-01,2.321230e-02,6.500093e-01
1.550303e-01,2.235896e-02,6.261135e-01
1.580505e-01,2.152419e-02,6.027377e-01
1.610707e-01,2.070832e-02,5.798908e-01
1.640909e-01,1.990883e-02,5.575029e-01
1.671111e-01,1.912744e-02,5.356219e-01
1.701313e-01,1.836360e-02,5.142323e-01
1.731515e-01,1.761695e-02,4.933239e-01
1.761717e-01,1.688719e-02,4.728885e-01
1.791919e-01,1.617442e-02,4.529290e-01
1.822121e-01,1.547921e-02,4.334612e-01
1.852323e-01,1.479978e-02,4.144353e-01
1.882525e-01,1.413779e-02,3.958978e-01
1.912727e-01,1.349239e-02,3.778248e-01
1.942929e-01,1.286391e-02,3.602254e-01
1.973131e-01,1.225186e-02,3.430865e-01
2.003333e-01,1.165663e-02,3.264183e-01
2.033535e-01,1.107751e-02,3.102014e-01
2.063737e-01,1.051511e-02,2.944526e-01
2.093939e-01,9.969282e-03,2.791678e-01
2.124141e-01,9.439949e-03,2.643450e-01
2.154343e-01,8.927021e-03,2.499816e-01
2.184545e-01,8.430461e-03,2.360765e-01
2.214747e-01,7.950135e-03,2.226260e-01
2.244949e-01,7.485958e-03,2.096278e-01
2.275152e-01,7.037848e-03,1.970794e-01
2.305354e-01,6.605839e-03,1.849820e-01
2.335556e-01,6.189764e-03,1.733307e-01
2.365758e-01,5.789324e-03,1.621173e-01
2.395960e-01,5.404730e-03,1.513476e-01
2.426162e-01,5.035513e-03,1.410085e-01
2.456364e-01,4.681690e-03,1.311004e-01
2.486566e-01,4.343057e-03,1.216178e-01
2.516768e-01,4.019575e-03,1.125593e-01
2.546970e-01,3.710873e-03,1.039148e-01
2.577172e-01,3.416487e-03,9.567120e-02
2.607374e-01,3.136685e-03,8.783595e-02
2.637576e-01,2.871108e-03,8.039907e-02
2.667778e-01,2.619509e-03,7.335357e-02
2.697980e-01,2.381369e-03,6.668500e-02
2.728182e-01,2.156774e-03,6.039572e-02
2.758384e-01,1.945300e-03,5.447386e-02
2.788586e-01,1.746747e-03,4.891381e-02
2.818788e-01,1.560749e-03,4.370533e-02
2.848990e-01,1.387064e-03,3.884167e-02
2.879192e-01,1.225348e-03,3.431318e-02
2.909394e-01,1.075336e-03,3.011241e-02
2.939596e-01,9.366904e-04,2.622995e-02
2.969798e-01,8.091022e-04,2.265713e-02
3.000000e-01,6.922702e-04,1.938551e-02
3.100000e-01,3.779534e-04,1.058375e-02
3.270707e-01,7.112604e-05,1.991728e-03
3.441414e-01,2.902920e-06,8.128988e-05
3.612121e-01,1.160074e-04,3.248532e-03
3.782828e-01,3.572935e-04,1.000522e-02
3.953535e-01,6.791001e-04,1.901670e-02
4.124242e-01,1.039615e-03,2.911213e-02
4.294949e-01,1.404004e-03,3.931605e-02
4.465657e-01,1.743852e-03,4.883273e-02
4.636364e-01,2.037703e-03,5.706139e-02
4.807071e-01,2.270894e-03,6.359140e-02
4.977778e-01,2.435204e-03,6.819252e-02
5.148485e-01,2.528468e-03,7.080418e-02
5.319192e-01,2.553523e-03,7.150580e-02
5.489899e-01,2.517157e-03,7.048744e-02
5.660606e-01,2.428506e-03,6.800496e-02
5.831313e-01,2.298588e-03,6.436691e-02
6.002020e-01,2.138951e-03,5.989662e-02
6.172727e-01,1.958241e-03,5.483624e-02
6.343434e-01,1.767495e-03,4.949480e-02
6.514141e-01,1.573928e-03,4.407439e-02
6.684848e-01,1.383734e-03,3.874843e-02
6.855556e-01,1.201596e-03,3.364805e-02
7.026263e-01,1.030872e-03,2.886731e-02
7.196970e-01,8.736999e-04,2.446604e-02
7.367677e-01,7.313217e-04,2.047906e-02
7.538384e-01,6.042724e-04,1.692132e-02
7.709091e-01,4.924862e-04,1.379099e-02
7.879798e-01,3.955304e-04,1.107596e-02
8.050505e-01,3.126016e-04,8.753720e-03
8.221212e-01,2.428516e-04,6.800524e-03
8.391919e-01,1.851656e-04,5.185156e-03
8.562626e-01,1.384638e-04,3.877373e-03
8.733333e-01,1.015783e-04,2.844477e-03
8.904040e-01,7.335032e-05,2.054014e-03
9.074747e-01,5.263931e-05,1.474048e-03
9.245455e-01,3.830857e-05,1.072747e-03
9.416162e-01,2.930524e-05,8.206287e-04
9.586869e-01,2.460672e-05,6.890572e-04
9.757576e-01,2.326297e-05,6.514283e-04
9.928283e-01,2.441122e-05,6.835825e-04
1.009899e+00,2.727598e-05,7.638038e-04
1.026970e+00,3.118447e-05,8.732525e-04
1.044040e+00,3.556845e-05,9.960163e-04
1.061111e+00,3.996985e-05,1.119268e-03
1.078182e+00,4.403578e-05,1.233125e-03
1.095253e+00,4.751293e-05,1.330495e-03
1.112323e+00,5.023710e-05,1.406779e-03
1.129394e+00,5.212314e-05,1.459594e-03
1.146465e+00,5.314829e-05,1.488301e-03
1.163535e+00,5.333945e-05,1.493654e-03
1.180606e+00,5.276295e-05,1.477510e-03
1.197677e+00,5.150045e-05,1.442157e-03
1.214747e+00,4.965925e-05,1.390598e-03
1.231818e+00,4.734485e-05,1.325788e-03
1.248889e+00,4.466319e-05,1.250694e-03
1.265960e+00,4.171587e-05,1.168161e-03
1.283030e+00,3.859508e-05,1.080770e-03
1.300101e+00,3.538404e-05,9.908521e-04
1.317172e+00,3.215558e-05,9.004462e-04
1.334242e+00,2.896829e-05,8.111934e-04
1.351313e+00,2.587484e-05,7.245679e-04
1.368384e+00,2.291478e-05,6.416781e-04
1.385455e+00,2.011906e-05,5.633899e-04
1.402525e+00,1.751097e-05,4.903561e-04
1.419596e+00,1.510615e-05,4.230144e-04
1.436667e+00,1.291377e-05,3.616217e-04
1.453737e+00,1.093719e-05,3.062718e-04
1.470808e+00,9.175471e-06,2.569389e-04
1.487879e+00,7.623443e-06,2.134778e-04
1.504949e+00,6.272438e-06,1.756458e-04
1.522020e+00,5.111524e-06,1.431370e-04
1.539091e+00,4.127269e-06,1.155751e-04
1.556162e+00,3.305122e-06,9.255266e-05
1.573232e+00,2.629384e-06,7.363011e-05
1.590303e+00,2.083870e-06,5.835419e-05
1.607374e+00,1.652321e-06,4.626962e-05
1.624444e+00,1.318773e-06,3.692933e-05
1.641515e+00,1.067966e-06,2.990604e-05
1.658586e+00,8.853378e-07,2.479194e-05
1.675657e+00,7.577231e-07,2.121837e-05
1.692727e+00,6.731326e-07,1.884960e-05
1.709798e+00,6.210370e-07,1.739077e-05
1.726869e+00,5.920554e-07,1.657921e-05
1.743939e+00,5.787616e-07,1.620695e-05
1.761010e+00,5.748232e-07,1.609666e-05
1.778081e+00,5.754498e-07,1.611421e-05
1.795152e+00,5.765951e-07,1.614628e-05
1.812222e+00,5.761375e-07,1.613346e-05
1.829293e+00,5.721146e-07,1.602081e-05
1.846364e+00,5.640444e-07,1.579482e-05
1.863434e+00,5.514420e-07,1.544192e-05
1.880505e+00,5.349385e-07,1.497978e-05
1.897576e+00,5.152171e-07,1.442752e-05
1.914646e+00,4.932828e-07,1.381330e-05
1.931717e+00,4.703226e-07,1.317035e-05
1.948788e+00,4.475171e-07,1.253173e-05
1.965859e+00,4.261352e-07,1.193298e-05
1.982929e+00,4.073106e-07,1.140584e-05
2.000000e+00,3.920774e-07,1.097926e-05
