V_GASW,E0,norm
0.3,-0.5082558362137078,1.0000018465821732
0.46,-0.5172651898914549,1.0000015902720631
0.56,-0.5420846514652816,1.0000005903976583
1.03,-0.9149950338002019,1.0000000005015275
