mu,E0,norm
0.0,-0.49998747665861165,1.0000019612772801
0.25,-0.2909076924673731,1.0000018165037368
0.5,-0.14810678348029208,1.000001472884175
0.75,-0.05739332768496038,1.0000010050771333
