V_GASW,A,U
0.3,-0.25555201470639427,0.04444798529360574
0.46,-0.39184642254980456,0.06815357745019547
0.56,-0.477030427451936,0.08296957254806406
1.03,-0.8773952504919537,0.15260474950804637
