r,u,V
1e-08,0.0,-100000000.0
0.010001676942823804,0.019803789540781033,-99.98323338342769
0.02000334388564761,0.03921341865287853,-49.99164168334373
0.030005010828471415,0.058234770959042746,-33.32776667592839
0.04000667777129522,0.07687365214503236,-24.995827089584022
0.050008344714119024,0.09513579083009781,-19.996662671333464
0.06001001165694283,0.11302683950628434,-16.663886114814733
0.07001167859976662,0.13055237547974424,-14.283331295578071
0.08001334554259043,0.14771790180458533,-12.497915106770638
0.09001501248541424,0.16452884820698138,-11.109258026954526
0.10001667942823804,0.18099057199886695,-9.998332335333128
0.11001834637106184,0.19710835898101456,-9.089393114738092
0.12002001331388565,0.21288742433548555,-8.331943751620177
0.13002168025670946,0.2283329135074963,-7.691025050788769
0.14002334719953324,0.24344990307678477,-7.141666157822954
0.15002501414235705,0.25824340161858594,-6.665555112370202
0.16002668108518087,0.2727183505543089,-6.248957943880048
0.17002834802800468,0.2868796249920422,-5.881372204094426
0.1800300149708285,0.30073203455698977,-5.554629322016314
0.19003168191365227,0.3142803242119638,-5.262280425715465
0.20003334885647608,0.32752917506801577,-4.9991664175832
0.2100350157992999,0.340483205185375,-4.76111088522285
0.22003668274212368,0.3531469703647468,-4.544696763911723
0.2300383496849475,0.3655249649291216,-4.347101261026977
0.2400400166277713,0.37762162249618375,-4.165972049363313
0.2500416835705951,0.38944131674144583,-3.9993331740532243
0.2600433505134189,0.40098836215220324,-3.8455126732740563
0.2700450174562427,0.41226701477241345,-3.7030862832417824
0.2800466843990665,0.4232814729386321,-3.57083320641997
0.29004835134189033,0.434035878007062,-3.4477010311334757
0.3000500182847141,0.4445343150718728,-3.332777667259167
0.31005168522753795,0.454780813674856,-3.2252687137182594
0.32005335217036174,0.46477934850652286,-3.1244790695637157
0.3300550191131855,0.47453384009875943,-3.029797888506191
0.34005668605600936,0.48404815550913116,-2.940686188523563
0.35005835299883314,0.4933261089969122,-2.8566665855373357
0.360060019941657,0.5023714626909803,-2.7773147381429264
0.37006168688448077,0.5111879272496276,-2.702252179680957
0.38006335382730455,0.5197791625124156,-2.6311402820867227
0.3900650207701284,0.5281487781441463,-2.5636751483781883
0.4000666877129522,0.5363003342710455,-2.4995832712707635
0.41006835465577596,0.5442373421092719,-2.438617827116728
0.4200700215985998,0.5519632645857893,-2.3805554992818685
0.4300716885414236,0.5594815169517666,-2.325193744771884
0.44007335548424736,0.566795467388516,-2.2723484335915343
0.4500750224270712,0.5739084376061137,-2.221851802855905
0.460076689369895,0.5808237034347655,-2.173550677756713
0.4700783563127188,0.5875444954089858,-2.1273049196392946
0.4800800232555426,0.5940739993447246,-2.082986068069965
0.4900816901983664,0.6004153569094626,-2.0404761491808396
0.5000833571411902,0.6065716661854142,-1.9996666270132772
0.5100850240840141,0.6125459822258766,-1.9604574782326758
0.5200866910268379,0.6183413176048229,-1.9227563736069477
0.5300883579696617,0.6239606429598318,-1.886477952147805
0.5400900249124855,0.6294068875284013,-1.8515431759030117
0.5500916918553093,0.6346829396777531,-1.8178787551349354
0.560093358798133,0.6397916474281854,-1.78541663508711
0.5700950257409569,0.6447358189700513,-1.7540935367753687
0.5800966926837807,0.6495182231744727,-1.7238505452833444
0.5900983596266045,0.6541415900977863,-1.6946327399262189
0.6001000265694283,0.6586086114798952,-1.6663888613981015
0.6101016935122521,0.6629219412364965,-1.6390710116590064
0.620103360455076,0.667084195945342,-1.6126343828650256
0.6301050273978998,0.671097955326562,-1.5870370121146777
0.6401066943407235,0.6749657627171095,-1.5622395591877816
0.6501083612835473,0.6786901255394077,-1.5382051048007457
0.6601100282263711,0.6822735157643339,-1.514898967202284
0.670111695169195,0.6857183703684466,-1.4922885351933937
0.6801133621120188,0.6890270917857029,-1.4703431158808697
0.6901150290548426,0.6922020483536179,-1.4490337956696364
0.7001166959976663,0.6952455747539734,-1.428333313170028
0.7101183629404901,0.6981599724481194,-1.4082159428452954
0.720120029883314,0.7009475101069707,-1.3886573883551563
0.7301216968261378,0.7036104240356966,-1.3696346846656273
0.7401233637689616,0.7061509185932515,-1.3511261080958958
0.7501250307117854,0.7085711666067166,-1.333111093561444
