E_pe,sigma,dipole_D
0.05,0.21725130202619394,2.0281631576533132
0.0696969696969697,0.18069330006689427,1.8174059237568838
0.08939393939393939,0.160130931483319,1.6820445404675703
0.10909090909090909,0.14275841360976937,1.562292537396942
0.12878787878787878,0.12886700337372595,1.460902407674302
0.1484848484848485,0.11806888043145192,1.3769561021847772
0.16818181818181815,0.10790942125337591,1.2968343943881468
0.18787878787878787,0.09878764092323675,1.222918169625623
0.20757575757575758,0.09111864890205533,1.1580281116007691
0.22727272727272724,0.08431853096438967,1.0987900035885885
0.24696969696969695,0.0779982423466924,1.0427799027315612
0.26666666666666666,0.07227133631769829,0.990789498093144
0.2863636363636363,0.06723529808059099,0.9436012555050606
0.30606060606060603,0.06273069884865315,0.9002387108046885
0.32575757575757575,0.058566880642636876,0.8594114832070672
0.3454545454545454,0.054698673237516544,0.8208136624165716
0.3651515151515151,0.05117100310888848,0.7848146799106782
0.38484848484848483,0.047986382039131324,0.7514943449830931
0.4045454545454545,0.045083332320061786,0.7204335161168424
0.4242424242424242,0.0423973400234718,0.6911580860899603
0.4439393939393939,0.03989614484276122,0.6634289013212472
0.46363636363636357,0.037576671138796404,0.6372406613091712
0.4833333333333333,0.03544618747135973,0.6126821752681385
0.503030303030303,0.033497979741813906,0.5897298187328122
0.5227272727272727,0.031694678397014474,0.5680859007523389
0.5424242424242424,0.02999580179908099,0.5474049127506542
0.5621212121212121,0.028403336966038778,0.5277136135274705
0.5818181818181818,0.026930609795784155,0.5091509576804757
0.6015151515151516,0.025562424172322504,0.49159374164286535
0.6212121212121212,0.02428905450620407,0.47496535646710675
0.6409090909090909,0.023106254181749785,0.4592400252602162
0.6606060606060606,0.02198853662578705,0.4441771215620332
0.6803030303030303,0.020933637511130858,0.42975999745646265
0.7,0.019948350826988443,0.41606696752105493
0.7196969696969697,0.01902120249727701,0.40298913508665984
0.7393939393939394,0.0181577334382514,0.39059477001216064
0.759090909090909,0.017348766187773625,0.37879654432898985
0.7787878787878788,0.016582625384397167,0.3674748417746857
0.7984848484848485,0.015861783755884255,0.35666275442302564
0.8181818181818181,0.015174896021259536,0.3462385035982462
0.8378787878787879,0.014528702312497864,0.3362831888019072
0.8575757575757575,0.013918914684459237,0.32675387618008817
0.8772727272727272,0.01334438608305556,0.3176430779194057
0.896969696969697,0.012804138585783132,0.30894539956519024
0.9166666666666666,0.012290047465171549,0.3005681496109269
0.9363636363636363,0.011804080612525972,0.29253906662969315
0.956060606060606,0.011338798561140504,0.2847696865629889
0.9757575757575757,0.01089895144535054,0.2773222956789749
0.9954545454545454,0.01047927691338102,0.2701338223995358
1.0151515151515151,0.010083774254384165,0.26325911411933045
1.0348484848484847,0.009707208991124221,0.2566340646378229
1.0545454545454545,0.009351190185957101,0.25028312985745826
1.0742424242424242,0.009010680528250527,0.2441421771992839
1.093939393939394,0.00868677151144782,0.23822816133524
1.1136363636363635,0.008375995456729476,0.23249582652439188
1.1333333333333333,0.00808022630048157,0.22697295404597562
1.153030303030303,0.007797067563892834,0.22162818099993745
1.1727272727272726,0.007528428908180746,0.21649074219036027
1.1924242424242424,0.0072714983032494546,0.2115227271930648
1.2121212121212122,0.007027562606429926,0.2067448935913671
1.2318181818181817,0.006793299724979123,0.202110514069306
1.2515151515151515,0.006569978719899206,0.19763992501910305
1.2712121212121212,0.006354676123633761,0.19329074219745496
1.2909090909090908,0.006149079532765485,0.1890897113006775
1.3106060606060606,0.005951123663184126,0.18500654816548423
1.3303030303030303,0.005762291623854001,0.18106549611357192
1.3499999999999999,0.005581112044668346,0.1772450323761964
1.3696969696969696,0.005408025883670611,0.1735534770045713
1.3893939393939394,0.005242149986302747,0.1699781105322101
1.409090909090909,0.005082733645165251,0.16650791825791042
1.4287878787878787,0.0049298799950987645,0.16314563001381974
1.4484848484848485,0.004782166983675782,0.15986866309374742
1.468181818181818,0.004640568718660437,0.15669403844718957
1.4878787878787878,0.0045037280688922455,0.15359978015023745
1.5075757575757576,0.0043726063413059655,0.15060301593748743
1.5272727272727271,0.00424640336710654,0.14769097954674
1.5469696969696969,0.0041251701659641895,0.14486539386758568
1.5666666666666667,0.004008862144553163,0.14212639983977332
1.5863636363636362,0.003896530846037614,0.13945800752657975
1.606060606060606,0.003788691800663478,0.13687010284725445
1.6257575757575757,0.003684239905314625,0.13434343804028784
1.6454545454545453,0.0035835706312374324,0.1318856938951713
1.665151515151515,0.003486350944738049,0.12949134926071482
1.6848484848484848,0.0033923114392479825,0.1271559059211283
1.7045454545454544,0.003301930625476386,0.1248888804700052
1.7242424242424241,0.0032144740168818676,0.12267702008300382
1.743939393939394,0.0031303911084762407,0.12052941446210746
1.7636363636363634,0.0030492437581015677,0.11843826527242338
1.7833333333333332,0.0029707553223106793,0.11639868399547149
1.803030303030303,0.0028951242783973167,0.11441502397567482
1.8227272727272725,0.0028216803316927727,0.11247449768905718
1.8424242424242423,0.002750696033445014,0.1105828504005519
1.862121212121212,0.0026819741104560082,0.10873652450107832
1.8818181818181816,0.002615278637702963,0.10693107121503534
1.9015151515151514,0.0025509578260585826,0.10517395409795252
1.9212121212121211,0.002488589438375145,0.10345689164850681
1.9409090909090907,0.0024283130539361404,0.10178311654059956
1.9606060606060605,0.0023701289573510895,0.1001530418790075
1.9803030303030302,0.0023136383731201574,0.0985586076433239
2.0,0.0022590626342228505,0.09700482024178816
