Energy_au,CrossSection_au,CrossSection_Mb
1.00E-03,3.45E-01,9.655221e+00
4.02E-03,3.46E-01,9.675369e+00
7.04E-03,3.46E-01,9.694777e+00
1.01E-02,3.56E-01,9.974893e+00
1.31E-02,3.57E-01,9.989542e+00
1.61E-02,3.57E-01,1.000103e+01
1.91E-02,3.57E-01,1.000860e+01
2.21E-02,3.58E-01,1.001153e+01
2.52E-02,3.57E-01,1.000916e+01
2.82E-02,3.57E-01,1.000088e+01
3.12E-02,3.57E-01,9.986153e+00
3.42E-02,3.56E-01,9.964499e+00
3.72E-02,3.55E-01,9.935519e+00
4.03E-02,3.53E-01,9.898891e+00
4.33E-02,3.52E-01,9.854377e+00
4.63E-02,3.50E-01,9.801820e+00
4.93E-02,3.48E-01,9.741148e+00
5.23E-02,3.45E-01,9.672375e+00
5.54E-02,3.43E-01,9.595591e+00
5.84E-02,3.40E-01,9.510968e+00
6.14E-02,3.36E-01,9.418746e+00
6.44E-02,3.33E-01,9.319232e+00
6.74E-02,3.29E-01,9.212792e+00
7.05E-02,3.25E-01,9.099841e+00
7.35E-02,3.21E-01,8.980839e+00
7.65E-02,3.16E-01,8.856276e+00
7.95E-02,3.12E-01,8.726670e+00
8.25E-02,3.07E-01,8.592554e+00
8.56E-02,3.02E-01,8.454471e+00
8.86E-02,2.97E-01,8.312963e+00
9.16E-02,2.92E-01,8.168569e+00
9.46E-02,2.86E-01,8.021815e+00
9.76E-02,2.81E-01,7.873209e+00
1.01E-01,2.80E-01,7.828053e+00
1.04E-01,2.74E-01,7.675806e+00
1.07E-01,2.69E-01,7.523160e+00
1.10E-01,2.63E-01,7.370520e+00
1.13E-01,2.58E-01,7.218259e+00
1.16E-01,2.52E-01,7.066720e+00
1.19E-01,2.47E-01,6.916213e+00
1.22E-01,2.42E-01,6.767016e+00
1.25E-01,2.36E-01,6.619378e+00
1.28E-01,2.31E-01,6.473518e+00
1.31E-01,2.26E-01,6.329626e+00
1.34E-01,2.21E-01,6.187867e+00
1.37E-01,2.16E-01,6.048381e+00
1.40E-01,2.11E-01,5.911283e+00
1.43E-01,2.06E-01,5.776669e+00
1.46E-01,2.02E-01,5.644614e+00
1.49E-01,1.97E-01,5.515176e+00
1.52E-01,1.92E-01,5.388398e+00
1.55E-01,1.88E-01,5.264305e+00
1.58E-01,1.84E-01,5.142913e+00
1.61E-01,1.79E-01,5.024225e+00
1.64E-01,1.75E-01,4.908233e+00
1.67E-01,1.71E-01,4.794923e+00
1.70E-01,1.67E-01,4.684270e+00
1.73E-01,1.63E-01,4.576246e+00
1.76E-01,1.60E-01,4.470814e+00
1.79E-01,1.56E-01,4.367935e+00
1.82E-01,1.52E-01,4.267566e+00
1.85E-01,1.49E-01,4.169658e+00
1.88E-01,1.45E-01,4.074164e+00
1.91E-01,1.42E-01,3.981032e+00
1.94E-01,1.39E-01,3.890209e+00
1.97E-01,1.36E-01,3.801642e+00
2.00E-01,1.33E-01,3.715277e+00
2.03E-01,1.30E-01,3.631060e+00
2.06E-01,1.27E-01,3.548935e+00
2.09E-01,1.24E-01,3.468850e+00
2.12E-01,1.21E-01,3.390751e+00
2.15E-01,1.18E-01,3.314585e+00
2.18E-01,1.16E-01,3.240300e+00
2.21E-01,1.13E-01,3.167845e+00
2.24E-01,1.11E-01,3.097170e+00
2.28E-01,1.08E-01,3.028227e+00
2.31E-01,1.06E-01,2.960968e+00
2.34E-01,1.03E-01,2.895346e+00
2.37E-01,1.01E-01,2.831317e+00
2.40E-01,9.89E-02,2.768836e+00
2.43E-01,9.67E-02,2.707861e+00
2.46E-01,9.46E-02,2.648350e+00
2.49E-01,9.25E-02,2.590264e+00
2.52E-01,9.05E-02,2.533563e+00
2.55E-01,8.85E-02,2.478211e+00
2.58E-01,8.66E-02,2.424170e+00
2.61E-01,8.47E-02,2.371405e+00
2.64E-01,8.28E-02,2.319883e+00
2.67E-01,8.10E-02,2.269570e+00
2.70E-01,7.93E-02,2.220434e+00
2.73E-01,7.76E-02,2.172444e+00
2.76E-01,7.59E-02,2.125571e+00
2.79E-01,7.43E-02,2.079785e+00
2.82E-01,7.27E-02,2.035059e+00
2.85E-01,7.11E-02,1.991365e+00
2.88E-01,6.96E-02,1.948676e+00
2.91E-01,6.81E-02,1.906968e+00
2.94E-01,6.66E-02,1.866216e+00
2.97E-01,6.52E-02,1.826395e+00
3.00E-01,6.38E-02,1.787483e+00
3.10E-01,5.95E-02,1.664848e+00
3.27E-01,5.27E-02,1.475796e+00
3.44E-01,4.68E-02,1.309477e+00
3.61E-01,4.15E-02,1.162989e+00
3.78E-01,3.69E-02,1.033819e+00
3.95E-01,3.28E-02,9.197862e-01
4.12E-01,2.92E-02,8.189928e-01
4.29E-01,2.61E-02,7.297929e-01
4.47E-01,2.32E-02,6.507629e-01
4.64E-01,2.07E-02,5.806764e-01
4.81E-01,1.85E-02,5.184805e-01
4.98E-01,1.65E-02,4.632733e-01
5.15E-01,1.48E-02,4.142829e-01
5.32E-01,1.32E-02,3.708471e-01
5.49E-01,1.19E-02,3.323948e-01
5.66E-01,1.07E-02,2.984292e-01
5.83E-01,9.59E-03,2.685129e-01
6.00E-01,8.65E-03,2.422557e-01
6.17E-01,7.83E-03,2.193048e-01
6.34E-01,7.12E-03,1.993368e-01
6.51E-01,6.50E-03,1.820524e-01
6.68E-01,5.97E-03,1.671733e-01
6.86E-01,5.52E-03,1.544401e-01
7.03E-01,5.13E-03,1.436112e-01
7.20E-01,4.80E-03,1.344630e-01
7.37E-01,4.53E-03,1.267897e-01
7.54E-01,4.30E-03,1.204038e-01
7.71E-01,4.11E-03,1.151359e-01
7.88E-01,3.96E-03,1.108348e-01
8.05E-01,3.83E-03,1.073664e-01
8.22E-01,3.74E-03,1.046136e-01
8.39E-01,3.66E-03,1.024750e-01
8.56E-01,3.60E-03,1.008634e-01
8.73E-01,3.56E-03,9.970471e-02
8.90E-01,3.53E-03,9.893669e-02
9.07E-01,3.52E-03,9.850712e-02
9.25E-01,3.51E-03,9.837267e-02
9.42E-01,3.52E-03,9.849742e-02
9.59E-01,3.53E-03,9.885165e-02
9.76E-01,3.55E-03,9.941063e-02
9.93E-01,3.58E-03,1.001536e-01
1.01E+00,3.61E-03,1.010629e-01
1.03E+00,3.65E-03,1.021229e-01
1.04E+00,3.69E-03,1.033198e-01
1.06E+00,3.74E-03,1.046404e-01
