Energy_au,CrossSection_au,CrossSection_Mb
1.000000e-03,1.989380e-02,5.570820e-01
4.020202e-03,1.501708e-02,4.205203e-01
7.040404e-03,1.469203e-02,4.114180e-01
1.006061e-02,1.355101e-02,3.794661e-01
1.308081e-02,1.464072e-02,4.099811e-01
1.610101e-02,1.617192e-02,4.528591e-01
1.912121e-02,1.792735e-02,5.020160e-01
2.214141e-02,1.973781e-02,5.527139e-01
2.516162e-02,2.149269e-02,6.018554e-01
2.818182e-02,2.312568e-02,6.475837e-01
3.120202e-02,2.460478e-02,6.890026e-01
3.422222e-02,2.591933e-02,7.258139e-01
3.724242e-02,2.707228e-02,7.580995e-01
4.026263e-02,2.807288e-02,7.861193e-01
4.328283e-02,2.893757e-02,8.103329e-01
4.630303e-02,2.968150e-02,8.311652e-01
4.932323e-02,3.032526e-02,8.491922e-01
5.234343e-02,3.088064e-02,8.647445e-01
5.536364e-02,3.136761e-02,8.783808e-01
5.838384e-02,3.179848e-02,8.904465e-01
6.140404e-02,3.218699e-02,9.013258e-01
6.442424e-02,3.254333e-02,9.113044e-01
6.744444e-02,3.287831e-02,9.206849e-01
7.046465e-02,3.319960e-02,9.296818e-01
7.348485e-02,3.351349e-02,9.384717e-01
7.650505e-02,3.382755e-02,9.472660e-01
7.952525e-02,3.414544e-02,9.561680e-01
8.254545e-02,3.447173e-02,9.653051e-01
8.556566e-02,3.480998e-02,9.747770e-01
8.858586e-02,3.516267e-02,9.846533e-01
9.160606e-02,3.553202e-02,9.949962e-01
9.462626e-02,3.592068e-02,1.005880e+00
9.764646e-02,3.632829e-02,1.017294e+00
1.006667e-01,3.657809e-02,1.024289e+00
1.036869e-01,3.710453e-02,1.039031e+00
1.067071e-01,3.765225e-02,1.054368e+00
1.097273e-01,3.822262e-02,1.070340e+00
1.127475e-01,3.881221e-02,1.086851e+00
1.157677e-01,3.942654e-02,1.104053e+00
1.187879e-01,4.006123e-02,1.121827e+00
1.218081e-01,4.071632e-02,1.140171e+00
1.248283e-01,4.139539e-02,1.159187e+00
1.278485e-01,4.209401e-02,1.178750e+00
1.308687e-01,4.281262e-02,1.198873e+00
1.338889e-01,4.355060e-02,1.219539e+00
1.369091e-01,4.431031e-02,1.240813e+00
1.399293e-01,4.508479e-02,1.262500e+00
1.429495e-01,4.587878e-02,1.284734e+00
1.459697e-01,4.668986e-02,1.307447e+00
1.489899e-01,4.751471e-02,1.330545e+00
1.520101e-01,4.835831e-02,1.354168e+00
1.550303e-01,4.921054e-02,1.378033e+00
1.580505e-01,5.007799e-02,1.402324e+00
1.610707e-01,5.095990e-02,1.427020e+00
1.640909e-01,5.184798e-02,1.451888e+00
1.671111e-01,5.274627e-02,1.477043e+00
1.701313e-01,5.365192e-02,1.502404e+00
1.731515e-01,5.456731e-02,1.528037e+00
1.761717e-01,5.548470e-02,1.553727e+00
1.791919e-01,5.640589e-02,1.579523e+00
1.822121e-01,5.732997e-02,1.605400e+00
1.852323e-01,5.825544e-02,1.631316e+00
1.882525e-01,5.917957e-02,1.657194e+00
1.912727e-01,6.010153e-02,1.683011e+00
1.942929e-01,6.101981e-02,1.708726e+00
1.973131e-01,6.193284e-02,1.734293e+00
2.003333e-01,6.283862e-02,1.759657e+00
2.033535e-01,6.373876e-02,1.784864e+00
2.063737e-01,6.462500e-02,1.809681e+00
2.093939e-01,6.550139e-02,1.834222e+00
2.124141e-01,6.636327e-02,1.858357e+00
2.154343e-01,6.721180e-02,1.882119e+00
2.184545e-01,6.804411e-02,1.905426e+00
2.214747e-01,6.885790e-02,1.928214e+00
2.244949e-01,6.965145e-02,1.950436e+00
2.275152e-01,7.042691e-02,1.972151e+00
2.305354e-01,7.117956e-02,1.993227e+00
