Energy_au,CrossSection_au,CrossSection_Mb
1.000000e-03,2.125461e-03,5.951886e-02
4.020202e-03,4.561746e-03,1.277416e-01
7.040404e-03,6.676881e-03,1.869714e-01
1.006061e-02,1.321890e-01,3.701662e+00
1.308081e-02,1.271725e-01,3.561185e+00
1.610101e-02,1.219344e-01,3.414504e+00
1.912121e-02,1.168640e-01,3.272519e+00
2.214141e-02,1.120918e-01,3.138885e+00
2.516162e-02,1.076598e-01,3.014775e+00
2.818182e-02,1.035506e-01,2.899706e+00
3.120202e-02,9.974044e-02,2.793011e+00
3.422222e-02,9.619429e-02,2.693710e+00
3.724242e-02,9.287316e-02,2.600709e+00
4.026263e-02,8.974287e-02,2.513052e+00
4.328283e-02,8.677061e-02,2.429820e+00
4.630303e-02,8.392780e-02,2.350213e+00
4.932323e-02,8.118972e-02,2.273540e+00
5.234343e-02,7.853017e-02,2.199065e+00
5.536364e-02,7.593891e-02,2.126502e+00
5.838384e-02,7.339951e-02,2.055392e+00
6.140404e-02,7.090138e-02,1.985437e+00
6.442424e-02,6.843987e-02,1.916508e+00
6.744444e-02,6.600920e-02,1.848442e+00
7.046465e-02,6.360755e-02,1.781190e+00
7.348485e-02,6.123480e-02,1.714746e+00
7.650505e-02,5.889140e-02,1.649124e+00
7.952525e-02,5.657870e-02,1.584362e+00
8.254545e-02,5.429956e-02,1.520540e+00
8.556566e-02,5.205770e-02,1.457761e+00
8.858586e-02,4.985397e-02,1.396051e+00
9.160606e-02,4.769329e-02,1.335546e+00
9.462626e-02,4.557773e-02,1.276304e+00
9.764646e-02,4.350946e-02,1.218387e+00
1.006667e-01,3.760379e-02,1.053011e+00
1.036869e-01,3.567963e-02,9.991296e-01
1.067071e-01,3.381408e-02,9.468888e-01
1.097273e-01,3.201012e-02,8.963729e-01
1.127475e-01,3.026551e-02,8.475191e-01
1.157677e-01,2.858181e-02,8.003708e-01
1.187879e-01,2.695659e-02,7.548601e-01
1.218081e-01,2.539226e-02,7.110544e-01
1.248283e-01,2.388558e-02,6.688630e-01
1.278485e-01,2.243767e-02,6.283176e-01
1.308687e-01,2.104810e-02,5.894058e-01
1.338889e-01,1.971492e-02,5.520729e-01
1.369091e-01,1.843761e-02,5.163048e-01
1.399293e-01,1.721498e-02,4.820676e-01
1.429495e-01,1.604606e-02,4.493347e-01
1.459697e-01,1.492948e-02,4.180672e-01
1.489899e-01,1.386435e-02,3.882406e-01
