SIMULATION SUMMARY LOG
Species: H
Cage Depth: 0.5600 a.u.
================================================================================
Mu       | E_bound      | NormErr    | Thresh       | Peak        
--------------------------------------------------------------------------------
0.000    | -0.54210     | 4.6e-06    | 1.114e-01    | 1.114e-01   
0.010    | -0.53232     | 4.6e-06    | 1.159e-01    | 1.159e-01   
0.020    | -0.52298     | 4.5e-06    | 1.186e-01    | 1.186e-01   
0.050    | -0.49741     | 3.9e-06    | 1.097e-01    | 1.097e-01   
0.100    | -0.46257     | 2.6e-06    | 2.243e-02    | 7.336e-02   
0.200    | -0.41786     | 7.5e-07    | 1.616e-04    | 3.292e-02   
0.300    | -0.39472     | 2.4e-07    | 8.729e-04    | 1.890e-02   
0.400    | -0.38259     | 9.9e-08    | 1.740e-03    | 2.070e-02   
0.500    | -0.37609     | 5.0e-08    | 2.624e-03    | 2.957e-02   
